question,answer,area
アフリカ各地に出現した人類で，「南方の猿」を意味する猿人をまとめて何というか。,アウストラロピテクス,アフリカ
猿人のなかには，河原などの自然石を打ち欠いただけの簡単な打製石器（石核石器）を用いたものもいたが，この石器を何というか。,礫石器,アフリカ
19世紀末ジャワ島のトリニールでオランダ人デュボワが発見した原人の名称を何というか。,ジャワ原人,東南アジア
中国の北京近くの周口店で出土した，打製石器を用い，火を使用したとされる原人を何というか。,北京原人,東アジア
約60万年前，現代の人類とほぼ同じ脳容積をもつ旧人が出現したとされるが，ヨーロッパ各地で出土した旧人の名称を何というか。,ネアンデルタール人,ヨーロッパ
旧人は，死者をいたむ観念をもっていたと考えられるが，どんな風習がそのことを示しているか。,埋葬の風習,ヨーロッパ
約20万年前の更新世末期には，現生人類に属する新人が出現したとされるが，南フランスで発見された新人の名称を何というか。,クロマニョン人,ヨーロッパ
新人は動物の骨・角・歯・牙を加工し，銛・釣針・槍・装身具を作ったが，この道具を何というか。,骨角器,ヨーロッパ
スペイン北部の代表的な洞穴美術遺跡を何というか。,アルタミラ,ヨーロッパ
人類が打製石器や骨角器を用いて生活を営んだ時代を何というか。,旧石器時代,
旧石器時代における食料獲得のための三つの方法は何か。,狩猟・漁労・採集,
約１万年前に氷期が終わり，新人は食料に関して，獲得経済から生産経済に大転換したが，この時代を旧石器時代に対して何というか。,新石器時代,
新石器時代以降の食料取得のための二つの方法は何か。,農耕・牧畜,
石斧・石臼・石皿など，砂や砥石で研磨した石器を何というか。,磨製石器,
新石器時代に作られた器で，調理用・貯蔵用の器を何というか。,土器,
薄手の素焼きの表面に，赤・紫・白・黒などの顔料で文様を描いた器を何というか。,彩文土器,
メソポタミア地方で始まった，河川などから人工的に水を供給する農法を何というか。,灌漑農法,西アジア・北アフリカ
銅と錫の合金でつくられた武器・装身具・祭器を何というか。,青銅器,
神殿を中心に発達した，中心市と周辺支配地域からなる小国家を何というか。,都市国家,
文字が発生する以前を先史時代というが，発生後の時代を何というか。,歴史時代,
「日ののぼるところ」を意味するラテン語で，古代のエジプトと西アジアおよびその周辺を指した言葉は何か。,オリエント,西アジア・北アフリカ
ティグリス・ユーフラテス両河の地域を指し，ほぼ今日のイラクにあたる地方を何というか。,メソポタミア,西アジア・北アフリカ
前3000年ころ，ウル・ウルク・ラガシュ等の都市国家をつくり，楔形文字を残した系統不明の民族を何というか。,シュメール人,西アジア・北アフリカ
前24世紀中頃，メソポタミア最初の統一国家を樹立した民族を何というか。,アッカド人,西アジア・北アフリカ
前19世紀初め頃，バビロンを都として建設された王国は何か。,バビロン第１王朝,西アジア・北アフリカ
バビロン第１王朝を建設したセム語系遊牧民を何というか。,アムル人,西アジア・北アフリカ
全メソポタミアを統一したバビロン第１王朝第６代の王は誰か。,ハンムラビ王,西アジア・北アフリカ
ハンムラビ王が制定した，復讐法・身分法を特色とする法典を何というか。,ハンムラビ法典,西アジア・北アフリカ
ハンムラビ法典で，同害復讐法の原則を表す言葉は何か。,目には目を歯には歯を,西アジア・北アフリカ
馬に引かせた戦車と鉄製武器を使用し，前18世紀頃小アジアに王国を建て，バビロン第１王朝を滅ぼした民族を何というか。,ヒッタイト,西アジア・北アフリカ
エジプトが，ナイル川の定期的氾濫によって運ばれた肥沃な土壌の上に栄えたことを，ギリシアの歴史家ヘロドトスは何と表現したか。,エジプトはナイルのたまもの,西アジア・北アフリカ
古代エジプトの王の称号を何というか。,ファラオ,西アジア・北アフリカ
古代エジプトの太陽神の一つであり，古王国時代に国家の最高神とされたものを何というか。,ラー,西アジア・北アフリカ
王の絶大な権力を象徴するものとして，古王国時代にさかんに建造されたものを何というか。,ピラミッド,西アジア・北アフリカ
シリア方面から馬と戦車を使用した遊牧民がエジプトに流入し，中王国時代末期に一時王朝を建てたが，この遊牧民を何というか。,ヒクソス,西アジア・北アフリカ
アトン神を唯一神とする宗教改革を断行し，自らもイクナートンと称した，新王国時代の王は誰か。,アメンホテプ４世,西アジア・北アフリカ
パピルスに記され，ミイラとともに副葬された，死後の世界への案内書を何というか。,死者の書,西アジア・北アフリカ
古代エジプト人が使用した象形文字で，碑文や墓に刻まれた最初のエジプト文字を何というか。,神聖文字/ヒエログリフ,西アジア・北アフリカ
上記18の解読のきっかけとなった，ナポレオンのエジプト遠征の際に発見された石碑を何というか。,ロゼッタストーン,西アジア・北アフリカ
古代エジプト人が，ナイル川の氾濫をもとに作成した暦を何というか。,太陽暦,西アジア・北アフリカ
都がテル＝エル＝アマルナ時代の写実的美術様式を何というか。,アマルナ美術,
ロゼッタ＝ストーンを手がかりに神聖文字を解読した人物は誰か。,シャンポリオン,西アジア・北アフリカ
前13世紀末から前12世紀初めに東地中海全域で活動し，エジプトなどを衰退させた諸民族の集団を何というか。,海の民,西アジア・北アフリカ
ダマスクスを中心に陸上の中継貿易に活躍し，その言語は国際商業語として広く使用されたセム系遊牧民を何というか。,アラム人,西アジア・北アフリカ
地中海交易を独占して，シドン・ティルスなどの都市国家を建設し，その文字がアルファベットの起源となったセム系民族を何というか。,フェニキア人,西アジア・北アフリカ
ヘブライ人の王国が分裂し，北にイスラエル王国，南にユダ王国が建国されたが，ユダ王国が新バビロニアにより滅ぼされて，住民の多くがバビロンに強制的に連れ去られた事件を何というか。,バビロン捕囚,西アジア・北アフリカ
エーゲ海で栄えた青銅器文明の前期に属し，平和的・海洋的性格をもつ文明を何というか。,クレタ文明,ヨーロッパ
前20世紀頃からギリシア本土に南下し，戦闘的で軍事に関心が高い民族が形成した青銅器文明を何というか。,ミケーネ文明,ヨーロッパ
巨石城塞を特色とするミケーネ文明は各地に小王国を築いたが，その中でミケーネの南に位置する代表的遺跡を何というか。,ティリンス,ヨーロッパ
シュリーマンが発見した小アジア西北岸の遺跡を何というか。,トロイア,ヨーロッパ
前７世紀前半，初めてオリエントを統一した国を何というか。,アッシリア,西アジア・北アフリカ
前７世紀末頃小アジアに成立し，世界最古の金属貨幣を使用したインド＝ヨーロッパ系の国を何というか。,リディア,西アジア・北アフリカ
インダス川中流域のパンジャーブ地方にあるインダス文明を代表する遺跡を何というか。,ハラッパー,南アジア
インダス川下流域のシンド地方にあり，「死者の丘」を意味するインダス文明最大の都市遺跡を何というか。,モエンジョダーロ,南アジア
インダス文明の担い手で，主に南インドに多い民族を何というか。,ドラヴィダ人,南アジア
前1500年頃カイバル峠をこえて西北インドに進入し，前1000年頃ガンジス川流域に移動・定住した民族を何というか。,アーリヤ人,南アジア
バラモン（司祭）・クシャトリヤ（王族・武人）・ヴァイシャ（庶民）・シュードラ（隷属民）からなる階層身分制度を何というか。,ヴァルナ制,南アジア
ヴェーダを聖典として成立した宗教を何というか。,バラモン教,南アジア
前10世紀頃からメキシコのユカタン半島を中心に展開した，ピラミッド状の神殿や絵文字を特色とする文明を何というか。,マヤ文明,南北アメリカ
12世紀以降チチメカ族の一派がメキシコ高原に進出し，14世紀に文明を築いたが，この文明を何というか。,アステカ文明,南北アメリカ
1200年頃成立した，アンデス高地の強力な帝国を何というか。,インカ帝国,南北アメリカ
インカ帝国の、縄の結び方で数量を記録する方法を何というか。,キープ/結縄,南北アメリカ
アーリヤ人の自然崇拝や神々への賛歌・儀礼をまとめたヴェーダの中で，最古のものを何というか。,リグヴェーダ,南アジア
標高2500ｍに築かれた，インカ帝国の空中都市遺跡を何というか。,マチュピチュ,南北アメリカ
アメリカ大陸原産の主要な栽培植物を，ジャガイモ・トマトの他に一つあげよ。,トウモロコシ,南北アメリカ
華北を流れ，流域に農耕文明が成立した中国第二の大河は何か。,黄河,東アジア
前5000～前3000年頃，黄河の中流域に展開した中国最古の新石器文化を何というか。,仰韶文化,東アジア
この文化を特色づける土器を何というか。,彩陶,東アジア
黄河の下流域に広がる新石器時代後期の農耕文化を何というか。,竜山文化,東アジア
この文化を特色づける，表面が研磨された薄手の土器を何というか。,黒陶,東アジア
竜山文化の末期からあらわれた，周囲を樹木や土壁で囲まれた集落を何というか。,邑,東アジア
禹を始祖として，17代約450年続いたとされる，伝説上の中国最古の王朝を何というか。,夏,東アジア
中国で確認できる最古の王朝は，後に都市国家に発展する夏の連合体であったが，その王朝名を何というか。,殷,東アジア
殷の別称でもある，都市国家連合の中心になった大邑の名称を何というか。,商,東アジア
河南省安陽市小屯にある殷の後期の都の遺跡を何というか。,殷墟,東アジア
亀甲・獣骨に刻まれた文字で，王が占いに使用したので卜辞ともよばれ，漢字の原型とされる文字を何というか。,甲骨文字,東アジア
陝西省の渭水流域からおこり，前11世紀頃殷を滅ぼした王朝を何というか。,周,東アジア
周の都は初めどこに置かれたか。,鎬京,東アジア
天命が革まり天子の姓が易るという意味の，中国における王朝交替の考え方を何というか。,易姓革命,東アジア
血縁を中心とする主従関係に基づき，王が一族や功臣に領地を与え，代々その土地を治めさせる制度を何というか。,封建制度,東アジア
主君が臣下に与えた領地を何というか。,封土,東アジア
封土を与えられ，代々その地を領有した一族や功臣を何というか。,諸侯,東アジア
政治・軍事を担った，王室や世襲の家臣団を何というか。,卿・大夫・士,東アジア
社会の上下関係を律するための行動規範を何というか。,礼,東アジア
同姓不婚など，親族集団内の秩序や上下関係を定めたものを何というか。,宗法,東アジア
前770年の周の洛邑東遷から，晋より分裂した韓・魏・趙の独立までの時代を何というか。,春秋時代,東アジア
周王の権威を背景に，諸侯間の盟約の儀式を行って秩序を維持した，斉の桓公などの有力諸侯を何というか。,覇者,東アジア
前403年の韓・魏・趙の独立から秦の統一までを何時代というか。,戦国時代,東アジア
韓・魏・趙など，この時代の７大諸侯のことを総称して何というか。,戦国の七雄,東アジア
春秋時代頃から広まり，森林の伐採や土地の開墾，灌漑や大規模な治水事業を可能にした道具は何か。,鉄器,東アジア
同じ頃に一部で広まった，犂を牛に引かせる農法を何というか。,牛耕農法,東アジア
戦国時代を中心に諸侯や大商人によって発行された，小刀の形を模した青銅貨幣を何というか。,刀銭,東アジア
封建身分の秩序の崩壊と実力本位の風潮の中で現れた，思想家の諸学派の総称を何というか。,諸子百家,東アジア
家族愛を社会秩序にまで拡大させることを説き，周の徳による統治を理想とした儒家の開祖は誰か。,孔子,東アジア
儒家の教えを性善説の立場から発展させ，王道政治の実現を説き，易姓革命説をとなえて諸国を遊説したのは誰か。,孟子,東アジア
性善説に対して性悪説をとなえ，社会秩序の維持のために礼が必要であると強調したのは誰か。,荀子,東アジア
時代を反映した実力主義や，血縁を超えた平等な人類愛を説いた思想家は誰か。,墨子,東アジア
老子を祖とし，荘子によって継承・発展した学派を何というか。,道家,東アジア
秦の孝公に仕え，宰相として大改革を実施した法家の思想家は誰か。,商鞅,東アジア
荀子に学び，法家思想を大成した人物は誰か。,韓非,東アジア
天文暦学を中心として，天体の運行と人間生活との関係を論じた学派を何というか。,陰陽家,東アジア
外交政策を論じて各国君主に取り入った縦横家の中で，合従策を唱えたのは誰か。,蘇秦,東アジア
蘇秦に対して，連衡策を説いて合従策を論破したのは誰か。,張儀,東アジア
戦略・兵法や国家経営を説いた，孫子らによる学派を何というか。,兵家,東アジア
生活習慣や言語の異なる中国以外の地域の人々を，「夷狄」として野蛮なものとする思想を何というか。,華夷思想,東アジア
四書の一つで，孔子の死後，弟子たちによって編纂された孔子と弟子の言行録を何というか。,論語,東アジア
魯の国の年代記で，孔子が編集したことで五経の一つとされた儒学の経典を何というか。,春秋,東アジア
老子が唱えた，人為的なものを排除して，人間の生活と行為の規範を天の道に従おうとする考え方を何というか。,無為自然,東アジア
前７～前４世紀頃，南ロシア一帯を支配したイラン系と推定される遊牧国家を何というか。,スキタイ,中央アジア
上記１による，動物文様や金属細工を特色とする文化を何というか。,スキタイ文化,中央アジア
前４世紀～後１世紀頃，上記１の文化的な影響の下，モンゴル高原を中心に活躍し，中国の諸王朝を圧迫した民族は何か。,匈奴,中央アジア
匈奴の最盛期の君主は誰か。,冒頓単于,中央アジア
前２世紀頃，イラン系とされる月氏が冒頓単于に敗れ，その一派が西方へ移動し建てた国を何というか。,大月氏,中央アジア
２世紀半ば以降モンゴル高原を支配し，後に中国へも進出した民族を何というか。,鮮卑,中央アジア
４世紀頃に，ヨーロッパ方面への大規模な西進を開始し，ゲルマン人の大移動を促した騎馬遊牧民を何というか。,フン,中央アジア
５～６世紀頃，モンゴル高原南部を中心に活躍した，モンゴル系民族は何か。,柔然,中央アジア
５～６世紀頃，中央アジアから西北インドにかけて活躍し，インドのグプタ朝に進入を繰り返した民族を何というか。,エフタル,中央アジア
秦王である政が，「王」の称号にかえて初めて使用した称号は何か。,皇帝,東アジア
始皇帝が全国を郡に分け，郡の下に県をおき，中央より官吏を派遣して中央集権化を進めた地方統治制度を何というか。,郡県制,東アジア
始皇帝が北方遊牧民に対する防衛のため，戦国時代からあったものを修築・連結した建造物を何というか。,/万里の長城,東アジア
始皇帝が丞相李斯の建議により行った，思想統制策を何というか。,焚書・坑儒,東アジア
始皇帝の死の翌年に起こった，中国史上初の農民反乱は何か。,陳勝・呉広の乱,東アジア
秦の滅亡後，旧勢力の代表として覇を争ったが，前202年垓下の戦いに敗れて自殺した楚の将軍は誰か。,項羽,東アジア
農民出身で，秦末に新興勢力の代表として台頭し，前202年に長安を都として漢王朝を樹立したのは誰か。,劉邦,東アジア
中央集権体制を確立し，対外的には積極策をとり，前漢の最盛期をもたらした第７代皇帝は誰か。,武帝,東アジア
武帝が匈奴挟撃のため大月氏へ派遣し，西域の事情を中国にもたらした人物は誰か。,張騫,東アジア
武帝が財政難を打開するため，人々の生活必需品である三品を国家専売制としたが，この三品は何か。,塩・鉄・酒,東アジア
宮中に仕える去勢された男子で，皇帝の側近としてしばしば国政に介入した人々を何というか。,宦官,東アジア
外戚として実権を掌握し，後８年に漢を倒して周を理想とする新を建国したのは誰か。,王莽,東アジア
新末期に山東省で挙兵し，仲間の目印として眉を赤で染めた農民の反乱を何というか。,赤眉の乱,東アジア
後23年新の滅亡後，豪族の支持を受け25年に洛陽を都として漢を復興（後漢）したのは誰か。,劉秀/光武帝,東アジア
西域都護として，50余国を服属させるなど西域経営に活躍した後漢の部将で，班固の弟でもある人物は誰か。,班超,東アジア
後漢末に，太平道の教祖張角が指導した農民反乱を何というか。,黄巾の乱,東アジア
五経（経書）の字句解釈を目的とした後漢の儒学を何というか。,訓詁学,東アジア
中国最初の紀伝体の歴史書『史記』を著したのは誰か。,司馬遷,東アジア
武帝に儒学を官学とするよう建言した儒学者は誰か。,董仲舒,東アジア
後漢の歴史家班固が紀伝体で記述した，前漢一代の歴史書を何というか。,漢書,東アジア
漢の時代の，郡県制と封建制を併用した統治政策を何というか。,郡国制,東アジア
前漢の景帝が諸侯の領土削減を図ったためおきた反乱は何か。,呉楚七国の乱,東アジア
秦の滅亡に乗じ広東を拠点に独立したが，その後前111年武帝に滅ぼされ，南海九郡の一つとなった国を何というか。,南越国,東アジア
前108年，武帝は朝鮮半島の衛氏朝鮮を滅ぼし朝鮮四郡を設置したが，この中で日本にとって漢文化の窓口となったのは何郡か。,楽浪郡,東アジア
武帝が財政再建のため実施した物価調整法を何というか。,均輸法,東アジア
均輸法とともに武帝が実施した物価安定法を何というか。,平準法,東アジア
武帝が始めた官吏任用法で，地方長官が有徳の人物を中央に推薦して官吏としたものを何というか。,郷挙里選,東アジア
後漢の時代に起こった，宦官の専横を非難した儒家官僚に対する弾圧事件を何というか。,党錮の禁,東アジア
後漢の蔡倫が改良し，その後各地に伝播した技術は何か。,製紙法,東アジア
後漢滅亡後の３世紀前半，華北の魏，四川の蜀，長江流域の呉が並び立ち抗争した時代を何というか。,三国時代,東アジア
魏の将軍で，265年国を奪って洛陽を都とする晋(西晋)を建国し，280年には呉を滅ぼして中国を統一した人物は誰か。,司馬炎,東アジア
西晋末に起こった，皇帝の一族による帝位をめぐる内乱を何というか。,八王の乱,東アジア
華北に移住を進め，４世紀に各地で蜂起した５つの周辺諸民族を何というか。,五胡,東アジア
西晋滅亡後の317年，司馬睿が江南に建国した国を何というか。,東晋,東アジア
現在の南京に位置する東晋の都はどこか。,建康,東アジア
５世紀前半以降，江南に４王朝と華北に５王朝が併存し対立したが，この時代を何というか。,南北朝時代,東アジア
上記５の滅亡後，江南に興亡した４つの王朝をまとめて何というか。,南朝,東アジア
386年，鮮卑が建国した国を何というか。,北魏,東アジア
北魏を建国した鮮卑の一部族を何というか。,拓跋氏,東アジア
治世の前半に均田制などが実施され，その後，習俗などの中国化を図る漢化政策を徹底した人物は誰か。,孝文帝,東アジア
孝文帝が，平城から南下し遷都した都市はどこか。,洛陽,東アジア
６世紀前半に東魏と西魏が成立するが，そのうち東魏を倒して成立した王朝を何というか。,北斉,東アジア
西魏を倒して成立し，その後北斉を併合した王朝を何というか。,北周,東アジア
魏に始まり南北朝時代まで実施され，地方におかれた中正官が，人材を９つの等級に分けて中央に推薦する官吏任用制度を何というか。,九品中正,東アジア
485年，北魏の孝文帝が実施した，農民に土地を割り当てて耕作させる土地制度を何というか。,均田制,東アジア
魏晋南北朝時代，経済力を背景として，世襲的に上級官職を独占した有力な家門を何というか。,門閥貴族,東アジア
西方との交流で仏教が盛んになる中で，華北地域の崖などに造営された寺院を何というか。,石窟寺院,東アジア
魏・晋時代に流行した，竹林の七賢に代表される，道教思想に基づく哲学的論議を何というか。,清談,東アジア
東晋時代の詩人で，「帰去来辞」「桃花源記」を書いたのは誰か。,陶潜/陶淵明,東アジア
梁の昭明太子が，古来の名文を集めて編纂した文集を何というか。,文選,東アジア
人物画や神仙思想の山水画に優れ，「女史箴図」を描いたとされる東晋時代の画家は誰か。,顧愷之,東アジア
「蘭亭序」で名高い東晋時代の書家で，芸術的な書風を完成させ「書聖」と称されたのは誰か。,王羲之,東アジア
310年に洛陽に訪れ，多くの門弟を育てて仏教を広めた亀茲（クチャ）出身の僧は誰か。,仏図澄,東アジア
インドでの修行後中国を訪れ，長安で仏典の漢訳につとめた亀茲の王族出身の僧は誰か。,鳩摩羅什,東アジア
陸路インドへ赴いて海路帰国し，『仏国記』を著した東晋の僧は誰か。,法顕,東アジア
神仙思想・老荘思想・陰陽五行説などの信仰が融合し，寇謙之が大成した中国固有の宗教を何というか。,道教,東アジア
前１世紀に成立し，後313年楽浪郡を滅ぼして朝鮮半島北部を支配した国を何というか。,高句麗,東アジア
三韓のうち，４世紀に馬韓から統一が進んで成立した国を何というか。,百済,東アジア
三韓のうち，４世紀に辰韓から統一が進んで成立した国を何というか。,新羅,東アジア
三韓のうち，弁韓をもとにして成立した朝鮮半島南部の小国家連合を何というか。,伽耶/加羅,東アジア
「魏志倭人伝」に記載されている倭の一国で，約30の小国を従えて魏に使節を送っていた国を何というか。,邪馬台国,東アジア
邪馬台国の女王で，３世紀に魏に朝貢し「親魏倭王」の称号を得たのは誰か。,卑弥呼,東アジア
４～７世紀頃，大和地方を拠点としていた日本の古代王朝を何というか。,大和政権,東アジア
北周の外戚で，隋を建国して589年中国を統一したのは誰か。,楊堅,東アジア
楊堅によって始められた官吏任用制度は何か。,科挙,東アジア
６世紀中頃からおこり，中央アジア一帯を支配し，その後隋の攻撃や内紛で東西に分裂したトルコ系騎馬遊牧民を何というか。,突厥,東アジア
隋の第２代皇帝で，大運河の建設や高句麗遠征を行ったのは誰か。,煬帝,東アジア
618年，隋皇帝からの禅譲で唐を建国したのは誰か。,李淵,東アジア
唐の都はどこか。,長安,東アジア
唐の第２代皇帝で，中国を統一して律令体制を整備し，東突厥を破るなど周辺の諸民族を服属させ，支配を確立したのは誰か。,太宗/李世民,東アジア
唐の第３代皇帝で，百済・高句麗を滅ぼして領土を最大としたのは誰か。,高宗,東アジア
唐中央政府の三省のうち，貴族の拠点として中書省からの詔勅や奏文を審議する機関を何というか。,門下省,東アジア
唐中央政府の三省のうち，六部を直属に置く詔勅の実行機関を何というか。,尚書省,東アジア
唐の中央政府のうち，官吏の監察を行う機関を何というか。,御史台,東アジア
隋・唐時代に確立し，周辺諸国にも影響を与えた中国の法体系を何というか。,律・令・格・式,東アジア
隋・唐の時代に実施され，農民に口分田や永業田を与えて耕作させる土地制度を何というか。,均田制,東アジア
均田制に関連する唐代の税制を何というか。,租庸調制,東アジア
支配下に入った周辺諸民族の監督のために，各地に置かれた軍事行政機関を何というか。,都護府,東アジア
唐代，中央から都護を派遣し，諸民族の自治を認める間接的な統治政策を何というか。,羈縻政策,東アジア
北魏の頃に伝来したゾロアスター教の中国名を何というか。,祆教,東アジア
ゾロアスター教・キリスト教・仏教が融合した宗教で，７世紀末に伝来してウイグルなどに広まった宗教は何か。,マニ教,東アジア
ネストリウス派キリスト教の中国名を何というか。,景教,東アジア
７世紀以降，ムスリム商人たちによって伝えられたイスラーム教の中国名を何というか。,回教,東アジア
自由奔放な詩風で「詩仙」と呼ばれた盛唐の詩人は誰か。,李白,東アジア
「春望」など戦乱後の悲惨な時世を詠み，「詩聖」と呼ばれた盛唐の詩人は誰か。,杜甫,東アジア
唐代に，人物や動物をかたどって緑・白・褐色などで色づけされ，主に副葬品として使用された陶器を何というか。,唐三彩,東アジア
五経の注釈書である『五経正義』を作成した唐初の儒学者は誰か。,孔穎達,東アジア
陸路インドを訪れ，その旅程を口述して『大唐西域記』としてまとめ，持ち帰った仏典の翻訳に従事した唐僧は誰か。,玄奘,東アジア
海路インドを訪れ，帰路に滞在した東南アジアのシュリーヴィジャヤで『南海寄帰内法伝』を著した唐僧は誰か。,義浄,東アジア
７世紀にソンツェン＝ガンポが建国し，唐やインドの影響を受けてチベット仏教を生み出した国を何というか。,吐蕃,東アジア
８世紀半ば頃に雲南地方で勢力を拡大し，漢字など唐の文化を受容した国を何というか。,南詔,東アジア
698年大祚栄が中国東北地方を中心に建国し，唐の諸制度を採り入れ日本とも交流を持った国を何というか。,渤海,東アジア
４世紀半ば以降朝鮮半島東部を中心に支配し，676年には朝鮮半島を統一した国を何というか。,新羅,東アジア
新羅における血縁的な身分制度を何というか。,骨品性,東アジア
遣唐使の派遣を通して唐の国際的な文化の影響を受け，８世紀頃に日本で開花した文化を何というか。,天平文化,東アジア
高宗死後の７世紀末に即位して国号を周と改め，政治に科挙官僚を重用するなどした中国唯一の女帝は誰か。,武則天,東アジア
唐の第６代皇帝で，様々な制度改革で体制の立て直しを図り，安定期を現出したのは誰か。,玄宗,東アジア
均田制の崩壊に伴い，農民からの徴兵をやめる代わりに傭兵を用いる兵制を何というか。,募兵制,東アジア
異民族に対する防備のために，当初は主に辺境に設置された軍職を何というか。,節度使,東アジア
755年，安禄山が史思明と共におこした反乱を何というか。,安史の乱,東アジア
安史の乱の鎮圧に活躍したトルコ系騎馬遊牧民は何か。,ウイグル,東アジア
780年以降に実施された，税を夏と秋の２回徴集する税制を何というか。,両税法,東アジア
均田制が行き詰まる一方で，大土地所有を許された貴族などが隷属する農民を使役して経営した土地を何というか。,荘園,東アジア
875年，唐末の圧政や飢饉を背景として，塩の密売人らの蜂起から拡大した農民反乱を何というか。,黄巣の乱,東アジア
上記15の後，907年唐の帝位を奪って後梁を建国したのは誰か。,朱全忠,東アジア
民衆的で平易な詩風を特徴とし，「長恨歌」などを残した中唐の詩人は誰か。,白居易,東アジア
柳宗元と共に貴族趣味的な四六駢儷文を批判し，自由な表現を目指して古文の復興を主張した中唐の文章家は誰か。,韓愈,東アジア
遊牧民が，馬と中国の絹を交換し利益を上げる貿易を何というか。,絹馬貿易,東アジア
遊牧国家と共生関係にあり，４世紀～７世紀頃の中央ユーラシア一帯で交易のみならず外交官の役割も果たした民族を何というか。,ソグド人,東アジア
中国と周辺諸地域における，儒教道徳的な君臣関係に基づく国際秩序を何というか。,冊封体制,東アジア
663年，日本が百済支援のため朝鮮半島に出兵し，唐・新羅連合軍に大敗した戦いを何というか。,白村江の戦い,東アジア
710年，長安にならい，日本の奈良に建設された都を何というか。,平城京,東アジア
律令が取り入れられた日本において，中国の均田制を模倣した土地の分配制度を何というか。,班田収授法,東アジア
従来の画法を脱して新しい技法を生み出し，山水や人物などを描いた８世紀頃の画家は誰か。,呉道玄,東アジア
従来の芸術的で貴族趣味的な書風を離れ，力強い書法を追求した８世紀の書家は誰か。,顔真卿,東アジア
前６世紀頃ガンジス川中下流域に成立し，前５世紀にはコーサラ国を併合した王国を何というか。,マガダ国,南アジア
バラモン教の祭式主義から転換し，「梵我一如」により苦悩から解脱できるという内面的思索を重視した哲学を何というか。,ウパニシャッド哲学,南アジア
バラモンの権威やヴァルナ制を否定する仏教を開いた人物は誰か。,ガウタマシッダールタ,南アジア
ヴァルダマーナによって開かれ，バラモンの権威を否定し，苦行や不殺生の実践を重視した宗教を何というか。,ジャイナ教,南アジア
前３世紀頃インドの大半を統一した，マウリヤ朝最盛期の王は誰か。,アショーカ王,南アジア
仏教経典の収集や編纂事業を何というか。,仏典結集,南アジア
イラン系クシャーナ朝の最盛期の王は誰か。,カニシカ王,南アジア
東西交通路の要衝にあったクシャーナ朝が盛んに交易をおこなった地中海方面の大国を何というか。,ローマ,南アジア
保守化した旧来の上座部仏教に対して，菩薩信仰をもとに全ての人の救済を目指す新仏教を何というか。,大乗仏教,南アジア
クシャーナ朝時代の都プルシャプラを中心とする地方に発達した，インドとギリシアの文化が融合して成立した仏教美術を何というか。,ガンダーラ美術,南アジア
南インドを中心に成立し，南北インドの文化交流や西方との海上交易も行った王朝を何というか。,サータヴァーハナ朝,南アジア
４世紀末～５世紀初に，グプタ朝最盛期を築いた第３代の王は誰か。,チャンドラグプタ２世,南アジア
バラモンの言葉がグプタ朝時代に公用語化し，詩や文学にも使われた言語を何というか。,サンスクリット語,南アジア
バラモン教に民間の信仰や慣習が融合して成立し，グプタ朝時代に定着した宗教を何というか。,ヒンドゥー教,南アジア
